image_uri,prompt,diagram,neural_network
images_gen\shedevrum\class_diagram\7_4_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды. 1. Класс - Продукт. Атрибуты: название стоимость размер цвет описание 2. Класс - Заказ. Атрибуты: дата заказа статус общая стоимость 3. Класс - Пользователь. Атрибуты: имя адрес доставки контактная информация 4. Класс - Корзина. Атрибуты: список продуктов сумма заказа 5. Класс - Оплата. Атрибуты: способ оплаты информация о платеже 6. Класс - Доставка. Атрибуты: адрес доставки статус доставки 7. Класс - Категория. Атрибуты: имя категории описание 8. Класс - Производитель. Атрибуты: название страна специализация 9. Класс - Отзывы. Атрибуты: оценка комментарий дата 10. Класс - Акции и скидки. Атрибуты: описание акции сроки услови,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\7_5_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды. 1. Класс - Продукт. Атрибуты: название стоимость размер цвет описание 2. Класс - Заказ. Атрибуты: дата заказа статус общая стоимость 3. Класс - Пользователь. Атрибуты: имя адрес доставки контактная информация 4. Класс - Корзина. Атрибуты: список продуктов сумма заказа 5. Класс - Оплата. Атрибуты: способ оплаты информация о платеже 6. Класс - Доставка. Атрибуты: адрес доставки статус доставки 7. Класс - Категория. Атрибуты: имя категории описание 8. Класс - Производитель. Атрибуты: название страна специализация 9. Класс - Отзывы. Атрибуты: оценка комментарий дата 10. Класс - Акции и скидки. Атрибуты: описание акции сроки услови,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\8_1_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\8_2_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\8_3_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\8_4_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\8_5_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\9_1_Sh.jpg,Создайте диаграмму классов для информационной системы Онлайн-магазин одежды. Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\9_2_Sh.jpg,Создайте диаграмму классов для информационной системы Онлайн-магазин одежды. Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\9_3_Sh.jpg,Создайте диаграмму классов для информационной системы Онлайн-магазин одежды. Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\9_4_Sh.jpg,Создайте диаграмму классов для информационной системы Онлайн-магазин одежды. Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\9_5_Sh.jpg,Создайте диаграмму классов для информационной системы Онлайн-магазин одежды. Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\10_1_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. Опишите основные классы: Животные Врачи и персонал Услуги и процедуры. Укажите основные атрибуты и методы для каждого класса. Опишите особенности такие как специфические характеристики каждого класса общие особенности между классами их взаимосвязи а также другие особенности которые следует учесть при генерации диаграммы классов для данной информационной системы.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\10_2_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. Опишите основные классы: Животные Врачи и персонал Услуги и процедуры. Укажите основные атрибуты и методы для каждого класса. Опишите особенности такие как специфические характеристики каждого класса общие особенности между классами их взаимосвязи а также другие особенности которые следует учесть при генерации диаграммы классов для данной информационной системы.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\10_3_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. Опишите основные классы: Животные Врачи и персонал Услуги и процедуры. Укажите основные атрибуты и методы для каждого класса. Опишите особенности такие как специфические характеристики каждого класса общие особенности между классами их взаимосвязи а также другие особенности которые следует учесть при генерации диаграммы классов для данной информационной системы.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\10_4_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. Опишите основные классы: Животные Врачи и персонал Услуги и процедуры. Укажите основные атрибуты и методы для каждого класса. Опишите особенности такие как специфические характеристики каждого класса общие особенности между классами их взаимосвязи а также другие особенности которые следует учесть при генерации диаграммы классов для данной информационной системы.,Диаграмма классов,Shedevrum
images_gen\shedevrum\class_diagram\10_5_Sh.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника. Опишите основные классы: Животные Врачи и персонал Услуги и процедуры. Укажите основные атрибуты и методы для каждого класса. Опишите особенности такие как специфические характеристики каждого класса общие особенности между классами их взаимосвязи а также другие особенности которые следует учесть при генерации диаграммы классов для данной информационной системы.,Диаграмма классов,Shedevrum
images_gen\shedevrum\IDEF0_diagram\31_1_Sh.jpg,Сгенерируй диаграмму как есть и как будет на основе методологии функциональнного моделирования,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\31_2_Sh.jpg,Сгенерируй диаграмму как есть и как будет на основе методологии функциональнного моделирования,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\31_3_Sh.jpg,Сгенерируй диаграмму как есть и как будет на основе методологии функциональнного моделирования,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\31_4_Sh.jpg,Сгенерируй диаграмму как есть и как будет на основе методологии функциональнного моделирования,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\31_5_Sh.jpg,Сгенерируй диаграмму как есть и как будет на основе методологии функциональнного моделирования,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\32_1_Sh.jpg,Сгенерируй диаграмму IDEF0,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\32_2_Sh.jpg,Сгенерируй диаграмму IDEF0,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\32_3_Sh.jpg,Сгенерируй диаграмму IDEF0,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\32_4_Sh.jpg,Сгенерируй диаграмму IDEF0,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\32_5_Sh.jpg,Сгенерируй диаграмму IDEF0,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\33_1_Sh.jpg,Сгенерируй диаграмму IDEF0 на основе методологии SADT,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\33_2_Sh.jpg,Сгенерируй диаграмму IDEF0 на основе методологии SADT,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\33_3_Sh.jpg,Сгенерируй диаграмму IDEF0 на основе методологии SADT,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\33_4_Sh.jpg,Сгенерируй диаграмму IDEF0 на основе методологии SADT,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\33_5_Sh.jpg,Сгенерируй диаграмму IDEF0 на основе методологии SADT,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\34_1_Sh.jpg,Сгенерируй диаграмму IDEF0. В IDEF0 входят блоки функций: прямоугольники отображающие функциональные элементы системы; стрелки и потоки: обозначают потоки данных или управления между блоками функций. У каждого функционального блока есть входящие стрелки которые ставят задачу исходящие которые показывают результат деятельности стрелки контроля показывают управляющие ресурсы и стрелки механизмов показывают что необходимо для работы.,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\34_2_Sh.jpg,Сгенерируй диаграмму IDEF0. В IDEF0 входят блоки функций: прямоугольники отображающие функциональные элементы системы; стрелки и потоки: обозначают потоки данных или управления между блоками функций. У каждого функционального блока есть входящие стрелки которые ставят задачу исходящие которые показывают результат деятельности стрелки контроля показывают управляющие ресурсы и стрелки механизмов показывают что необходимо для работы.,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\34_3_Sh.jpg,Сгенерируй диаграмму IDEF0. В IDEF0 входят блоки функций: прямоугольники отображающие функциональные элементы системы; стрелки и потоки: обозначают потоки данных или управления между блоками функций. У каждого функционального блока есть входящие стрелки которые ставят задачу исходящие которые показывают результат деятельности стрелки контроля показывают управляющие ресурсы и стрелки механизмов показывают что необходимо для работы.,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\34_4_Sh.jpg,Сгенерируй диаграмму IDEF0. В IDEF0 входят блоки функций: прямоугольники отображающие функциональные элементы системы; стрелки и потоки: обозначают потоки данных или управления между блоками функций. У каждого функционального блока есть входящие стрелки которые ставят задачу исходящие которые показывают результат деятельности стрелки контроля показывают управляющие ресурсы и стрелки механизмов показывают что необходимо для работы.,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\34_5_Sh.jpg,Сгенерируй диаграмму IDEF0. В IDEF0 входят блоки функций: прямоугольники отображающие функциональные элементы системы; стрелки и потоки: обозначают потоки данных или управления между блоками функций. У каждого функционального блока есть входящие стрелки которые ставят задачу исходящие которые показывают результат деятельности стрелки контроля показывают управляющие ресурсы и стрелки механизмов показывают что необходимо для работы.,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\35_1_Sh.jpg,Сгенерируй диаграмму IDEF0 для информационной системы Онлайн-магазин одежды,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\35_2_Sh.jpg,Сгенерируй диаграмму IDEF0 для информационной системы Онлайн-магазин одежды,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\35_3_Sh.jpg,Сгенерируй диаграмму IDEF0 для информационной системы Онлайн-магазин одежды,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\35_4_Sh.jpg,Сгенерируй диаграмму IDEF0 для информационной системы Онлайн-магазин одежды,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\35_5_Sh.jpg,Сгенерируй диаграмму IDEF0 для информационной системы Онлайн-магазин одежды,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\36_1_Sh.jpg,Сгенерируй диаграмму IDEF0 для инфомрационной системы Ветеринарная клиника,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\36_2_Sh.jpg,Сгенерируй диаграмму IDEF0 для инфомрационной системы Ветеринарная клиника,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\36_3_Sh.jpg,Сгенерируй диаграмму IDEF0 для инфомрационной системы Ветеринарная клиника,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\36_4_Sh.jpg,Сгенерируй диаграмму IDEF0 для инфомрационной системы Ветеринарная клиника,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\36_5_Sh.jpg,Сгенерируй диаграмму IDEF0 для инфомрационной системы Ветеринарная клиника,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\37_1_Sh.jpg,Сгенерируй IDEF0 для информационной системы Онлайн-магазин одежды. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\37_2_Sh.jpg,Сгенерируй IDEF0 для информационной системы Онлайн-магазин одежды. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\37_3_Sh.jpg,Сгенерируй IDEF0 для информационной системы Онлайн-магазин одежды. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\37_4_Sh.jpg,Сгенерируй IDEF0 для информационной системы Онлайн-магазин одежды. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\37_5_Sh.jpg,Сгенерируй IDEF0 для информационной системы Онлайн-магазин одежды. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\38_1_Sh.jpg,Сгенерируй IDEF0 для информационной системы Ветеринарная клиника. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\38_2_Sh.jpg,Сгенерируй IDEF0 для информационной системы Ветеринарная клиника. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\38_3_Sh.jpg,Сгенерируй IDEF0 для информационной системы Ветеринарная клиника. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\38_4_Sh.jpg,Сгенерируй IDEF0 для информационной системы Ветеринарная клиника. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\38_5_Sh.jpg,Сгенерируй IDEF0 для информационной системы Ветеринарная клиника. Опишите основные функции системы укажите иерархию этих функций а также связи между ними чтобы полноценно отразить структуру и функциональность системы. Опишите что необходимо для управления и выполнения каждой функции системы,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\39_1_Sh.jpg,Создайте диаграмму IDEF0 для информационной системы Онлайн-магазин одежды. Отобразите основные функциональные блоки: управление каталогом товаров обработка заказов обработка платежей управление складом обратная связь с клиентами и обновление информации о товарах. Покажите взаимодействие между этими функциям. Укажите стрелки для выполнения процессов: клиенты менеджеры продавцы. Также укажите стрелки для управления процессами: закон о защите прав потребителей закон купли-продажи,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\39_2_Sh.jpg,Создайте диаграмму IDEF0 для информационной системы Онлайн-магазин одежды. Отобразите основные функциональные блоки: управление каталогом товаров обработка заказов обработка платежей управление складом обратная связь с клиентами и обновление информации о товарах. Покажите взаимодействие между этими функциям. Укажите стрелки для выполнения процессов: клиенты менеджеры продавцы. Также укажите стрелки для управления процессами: закон о защите прав потребителей закон купли-продажи,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\39_3_Sh.jpg,Создайте диаграмму IDEF0 для информационной системы Онлайн-магазин одежды. Отобразите основные функциональные блоки: управление каталогом товаров обработка заказов обработка платежей управление складом обратная связь с клиентами и обновление информации о товарах. Покажите взаимодействие между этими функциям. Укажите стрелки для выполнения процессов: клиенты менеджеры продавцы. Также укажите стрелки для управления процессами: закон о защите прав потребителей закон купли-продажи,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\39_4_Sh.jpg,Создайте диаграмму IDEF0 для информационной системы Онлайн-магазин одежды. Отобразите основные функциональные блоки: управление каталогом товаров обработка заказов обработка платежей управление складом обратная связь с клиентами и обновление информации о товарах. Покажите взаимодействие между этими функциям. Укажите стрелки для выполнения процессов: клиенты менеджеры продавцы. Также укажите стрелки для управления процессами: закон о защите прав потребителей закон купли-продажи,Диаграмма IDEF0,Shedevrum
images_gen\shedevrum\IDEF0_diagram\39_5_Sh.jpg,Создайте диаграмму IDEF0 для информационной системы Онлайн-магазин одежды. Отобразите основные функциональные блоки: управление каталогом товаров обработка заказов обработка платежей управление складом обратная связь с клиентами и обновление информации о товарах. Покажите взаимодействие между этими функциям. Укажите стрелки для выполнения процессов: клиенты менеджеры продавцы. Также укажите стрелки для управления процессами: закон о защите прав потребителей закон купли-продажи,Диаграмма IDEF0,Shedevrum
